return_date_month,is_multiple_renter,nps_score,total_responses,promoters,passives,detractors,promoters_minus_detractors
2024-03,True,36.96470588235294,4250.0,2408.0,1005.0,837.0,1571.0
2024-04,False,29.576399394856278,1322.0,713.0,287.0,322.0,391.0
2024-04,True,36.889122438255384,3806.0,2140.0,930.0,736.0,1404.0
2024-05,False,22.696476964769648,1476.0,738.0,335.0,403.0,335.0
2024-05,True,36.43227937706465,4238.0,2411.0,960.0,867.0,1544.0
2024-06,False,23.627002288329518,1748.0,904.0,353.0,491.0,413.0
2024-06,True,35.884384657335026,5501.0,3107.0,1261.0,1133.0,1974.0
2024-07,False,4.9855072463768115,1725.0,768.0,275.0,682.0,86.0
2024-07,True,14.937833037300177,5630.0,2731.0,1009.0,1890.0,841.0
2024-08,False,26.84346701164295,1546.0,805.0,351.0,390.0,415.0
2024-08,True,38.919449901768175,5090.0,2944.0,1183.0,963.0,1981.0
2024-09,False,28.268156424581004,1790.0,946.0,404.0,440.0,506.0
2024-09,True,39.672667757774136,6110.0,3548.0,1438.0,1124.0,2424.0
2024-10,False,28.578132332238386,2131.0,1133.0,474.0,524.0,609.0
2024-10,True,40.77954735959765,7158.0,4218.0,1641.0,1299.0,2919.0
2024-11,False,32.9637526652452,2345.0,1329.0,460.0,556.0,773.0
2024-11,True,42.35004346566213,6902.0,4195.0,1435.0,1272.0,2923.0
2024-12,False,38.07465618860511,2545.0,1495.0,524.0,526.0,969.0
2024-12,True,45.40298113705316,7581.0,4728.0,1567.0,1286.0,3442.0
2025-01,False,39.555921052631575,2432.0,1449.0,496.0,487.0,962.0
2025-01,True,45.52973050049907,7013.0,4355.0,1496.0,1162.0,3193.0
2025-02,False,42.704798836645665,2063.0,1253.0,438.0,372.0,881.0
2025-02,True,48.50470430107527,5952.0,3832.0,1175.0,945.0,2887.0
2025-03,False,43.24324324324324,370.0,228.0,74.0,68.0,160.0
2025-03,True,44.47268106734435,787.0,495.0,147.0,145.0,350.0
