join_cohort_month,is_multiple_renter,nps_score,total_responses,promoters,passives,detractors,promoters_minus_detractors
2022-05,False,9.144893111638956,842.0,360.0,199.0,283.0,77.0
2022-05,True,26.187473728457334,2379.0,1192.0,618.0,569.0,623.0
2022-06,False,13.622291021671826,969.0,435.0,231.0,303.0,132.0
2022-06,True,28.391167192429023,3170.0,1651.0,768.0,751.0,900.0
2022-07,False,21.397849462365592,930.0,464.0,201.0,265.0,199.0
2022-07,True,37.51758087201125,2844.0,1644.0,623.0,577.0,1067.0
2022-08,False,13.123644251626898,922.0,416.0,211.0,295.0,121.0
2022-08,True,30.17102291061633,3099.0,1624.0,786.0,689.0,935.0
2022-09,False,18.75681570338059,917.0,442.0,205.0,270.0,172.0
2022-09,True,31.35483870967742,3100.0,1666.0,740.0,694.0,972.0
2022-10,False,17.941176470588236,1020.0,478.0,247.0,295.0,183.0
2022-10,True,34.780249593054805,3686.0,2052.0,864.0,770.0,1282.0
2022-11,False,16.80743243243243,1184.0,552.0,279.0,353.0,199.0
2022-11,True,35.59453185452669,3877.0,2173.0,911.0,793.0,1380.0
2022-12,False,17.54051477597712,1049.0,492.0,249.0,308.0,184.0
2022-12,True,30.100878620240806,3073.0,1621.0,756.0,696.0,925.0
2023-01,False,23.10880829015544,965.0,474.0,240.0,251.0,223.0
2023-01,True,39.81422165278667,3122.0,1840.0,685.0,597.0,1243.0
2023-02,False,19.91991991991992,999.0,477.0,244.0,278.0,199.0
2023-02,True,36.387349201173784,3067.0,1714.0,755.0,598.0,1116.0
2023-03,False,26.56104380242311,1073.0,552.0,254.0,267.0,285.0
2023-03,True,39.39233817701453,3785.0,2224.0,828.0,733.0,1491.0
2023-04,False,26.7590618336887,938.0,493.0,203.0,242.0,251.0
2023-04,True,38.824249846907534,3266.0,1875.0,784.0,607.0,1268.0
2023-05,False,27.311827956989248,930.0,480.0,224.0,226.0,254.0
2023-05,True,39.843984398439844,3333.0,1980.0,701.0,652.0,1328.0
2023-06,False,26.599326599326602,891.0,454.0,220.0,217.0,237.0
2023-06,True,39.289176090468494,3095.0,1800.0,711.0,584.0,1216.0
2023-07,False,28.14982973893303,881.0,471.0,187.0,223.0,248.0
2023-07,True,34.781060875756495,2809.0,1583.0,620.0,606.0,977.0
2023-08,False,25.14668901927913,1193.0,610.0,273.0,310.0,300.0
2023-08,True,36.342042755344416,3368.0,1889.0,814.0,665.0,1224.0
2023-09,False,31.61764705882353,1088.0,604.0,224.0,260.0,344.0
2023-09,True,36.66439290586631,2932.0,1662.0,683.0,587.0,1075.0
2023-10,False,26.740740740740744,1350.0,711.0,289.0,350.0,361.0
2023-10,True,41.02495304534478,3727.0,2219.0,818.0,690.0,1529.0
2023-11,False,27.760968229954614,1322.0,692.0,305.0,325.0,367.0
2023-11,True,36.67377398720683,3752.0,2140.0,848.0,764.0,1376.0
2023-12,False,31.503267973856207,1530.0,832.0,348.0,350.0,482.0
2023-12,True,38.333333333333336,4380.0,2536.0,987.0,857.0,1679.0
2024-01,False,28.65731462925852,1497.0,799.0,328.0,370.0,429.0
2024-01,True,40.83014424492199,3397.0,2029.0,726.0,642.0,1387.0
2024-02,False,27.09251101321586,1362.0,717.0,297.0,348.0,369.0
2024-02,True,34.94690818238601,3202.0,1808.0,705.0,689.0,1119.0
2024-03,False,28.98671096345515,1204.0,648.0,257.0,299.0,349.0
2024-03,True,40.438247011952186,3012.0,1806.0,618.0,588.0,1218.0
2024-04,False,26.872586872586872,1295.0,677.0,289.0,329.0,348.0
2024-04,True,34.11008437123343,2489.0,1394.0,550.0,545.0,849.0
2024-05,False,21.195652173913043,1472.0,726.0,332.0,414.0,312.0
2024-05,True,36.2151294295049,3979.0,2242.0,936.0,801.0,1441.0
2024-06,False,21.16741500962155,1559.0,801.0,287.0,471.0,330.0
2024-06,True,36.82983682983683,3861.0,2235.0,813.0,813.0,1422.0
2024-07,False,17.5334323922734,1346.0,662.0,258.0,426.0,236.0
2024-07,True,38.17062445030783,3411.0,2008.0,697.0,706.0,1302.0
2024-08,False,31.759069130732374,1461.0,802.0,321.0,338.0,464.0
2024-08,True,41.800947867298575,3165.0,1890.0,708.0,567.0,1323.0
2024-09,False,27.51637879690292,1679.0,885.0,371.0,423.0,462.0
2024-09,True,42.45489338436304,3658.0,2177.0,857.0,624.0,1553.0
2024-10,False,33.472149921915666,1921.0,1077.0,410.0,434.0,643.0
2024-10,True,45.290063182079265,3482.0,2154.0,751.0,577.0,1577.0
2024-11,False,37.426035502958584,2028.0,1184.0,419.0,425.0,759.0
2024-11,True,50.834813499111895,2815.0,1859.0,528.0,428.0,1431.0
2024-12,False,41.01983002832861,1765.0,1077.0,335.0,353.0,724.0
2024-12,True,49.82561036372696,2007.0,1301.0,405.0,301.0,1000.0
2025-01,False,40.318627450980394,1632.0,980.0,330.0,322.0,658.0
2025-01,True,51.12727272727273,1375.0,888.0,302.0,185.0,703.0
2025-02,False,46.08695652173913,1150.0,718.0,244.0,188.0,530.0
2025-02,True,52.74949083503056,491.0,326.0,98.0,67.0,259.0
2025-03,False,27.419354838709676,62.0,33.0,13.0,16.0,17.0
